"SamAccountName","Enabled"
"QUALIVAL_19ANDAR","True"
"CABINETEL2_12ANDAR","True"
"CABINETEL2_20ANDAR","True"
"GOIANIA_20ANDAR","True"
"Supergasbras 20 Bras","False"
"TESTE_SALA1","False"
"TESTE_SALA","False"
"Supergasbras 20 Arau","False"
"CABINETEL1_19ANDAR","True"
"Supergasbras 20 Bele","False"
"Supergasbras 20 Maua","False"
"SERRA_19ANDAR","True"
"Supergasbras 20 Caxi","False"
"Supergasbras 12 Uber","False"
"Supergasbras 20 Cano","False"
"Supergasbras 20 Beti","False"
"LONDRINA_20ANDAR","True"
"SALVADOR_19ANDAR","True"
"SJCAMPOS_19ANDAR","True"
"nfe_reenvio","True"
"CABINETEL1_20ANDAR","True"
"RIBEIRAO_19ANDAR","True"
"CUIABA_20ANDAR","True"
"FORTALEZA_20ANDAR","True"
"CPOGRAN_20ANDAR","True"
"PAULINA_20ANDAR","True"
"CABINETEL3_20ANDAR","True"
"CABINETEL1_12ANDAR","True"
"RECIFE_19ANDAR","True"
"USN_0800Net_cap_erro","True"
"USN_ct_Corporativo","True"
"MAUA_20ANDAR","True"
"cobranca_backoffice","True"
"patri2","True"
"registrodefornecedor","True"
"_paguei","True"
"atendimentoti","True"
"_etlmishml","True"
"USN_ccd","True"
"USN_0800Net_frota","True"
"usn_gp","True"
"USN_0800Net_Captacao","True"
"wiseit-ina_cont_usua","True"
"_usnroteiros","True"
"USN_rf_Conferencia","True"
"tf_ativo_fixo","True"
"USN-COMPRAS","True"
"wiseit-manut_dad_cad","True"
"USN_ac_Gp","True"
"USN_tb_Diretos","True"
"tb_Indiretos","True"
"USN_cp_Seguros","True"
"cp","True"
"AUDITKPMG","False"
"trdesktop","True"
"USN_0800Net_Confere","True"
"wiseit-mod_perm_usua","True"
"supergasbras.diretor","True"
"CTMAGPRD","True"
"CAXIAS_20ANDAR","True"
"_vmware","True"
"usn_cadastro_sgi","True"
"adm_ti","True"
"_etlmisdev","True"
"_tz0","True"
"USN_rf_Conferenciapo","True"
"comitedecredito","True"
"apoiocontestacao","True"
"cadastroshvgas","True"
"testems","True"
"usn_conc_receb","True"
"_CTMAGPRD","True"
"_ETLLumisHML","True"
"_ativacao-sfe","True"
"patri3","True"
"_sonicH","True"
"shvnferespota","True"
"USN_rh_Rt","True"
"USN_rf_Captacao","True"
"revogar_acesso","True"
"shvsun","True"
"_monitoria-mde","True"
"atendimentousn","False"
"usn_19_sala01","True"
"cobranca","False"
"atendimentosd","True"
"_testelync","True"
"usn_sd_cobrancaativa","True"
"ARAUCARIA_20ANDAR","True"
"testdts_homolog","True"
"qualivalbrasil","True"
"cobcorporativa","False"
"usn_sd","True"
"atendimento.forneced","False"
"_themis_prd","True"
"positivacaoenvasado","True"
"postegar.abastecimen","True"
"superbotao","True"
"usn_co_backoffice","True"
"_lumis-hml","True"
"testems_homolog","True"
"_projeto_USN_2_0","True"
"sgisuporte","True"
"treina_10","True"
"_qlikview","True"
"treina_07","True"
"_salesforceprod","True"
"cadastro_anp","True"
"treina_05","True"
"patri1","True"
"treina_08","True"
"treina_04","True"
"_etlolapprd","True"
"BESAdmin","False"
"treina_03","True"
"treina_06","True"
"_sqlFullTextSearch","True"
"_etlpinprd","True"
"treina_09","True"
"_sqlServerAgent","True"
"treina_01","True"
"_sqlIS","True"
"_controlmhml","True"
"_prodhyp11","True"
"_TADADM","True"
"_sqlServerInstance","True"
"_Wiseit-homologacao","True"
"assistencia_rcc","True"
"jpreis","False"
"testegpo","True"
"_ETLLumisPRD","True"
"incidente.fornecedor","True"
"_sccmadmin","True"
"_ptwebadmin","True"
"monitor_wiseit","True"
"usn_trein_desenv","True"
"wiseit-reg_oc-teste","True"
"RIVieira","False"
"cobrancasgb","True"
"Superbotao-LandingPa","True"
"citrix.teste","True"
"nmoreira","False"
"jalexandria","False"
"jlmachado","False"
"mppsantos","False"
"ibatista","False"
"jterra","False"
"ksilva","False"
"AprovacoesRealizarUS","True"
"agaspar","True"
"ansoliveira","False"
"admuniz","False"
"almsouza","False"
"ggurgel","False"
"rpinheiro","False"
"rosssantos","True"
"risouza","False"
"eosorio","False"
"jcacarvalho","False"
"jarocha","False"
"jmsantos","False"
"alsantos","False"
"dgusmao","False"
"_ETLSalesForceHML","True"
"jfernandes","False"
"jlrebelo","False"
"mfmelo","False"
"afcarneiro","False"
"dcrisostomo","False"
"esoares","False"
"fpalheta","False"
"aagsilva","False"
"sasilva","False"
"epsilva","False"
"jegsantos","False"
"wiseitusn230","False"
"ffcosta","True"
"dlsantana","False"
"lescobar","False"
"krodrigues","False"
"GAlves","False"
"fapereira","False"
"sgoliveira","True"
"fmelo","True"
"ejalmeida","True"
"rvmelo","True"
"gbezerra","True"
"jdias","True"
"rcravo","True"
"diosilva","True"
"anrosa","True"
"gmeira","True"
"jgoldhar","True"
"abispo","True"
"eclima","True"
"ibarreto","True"
"srmelo","True"
"vjunior","True"
"mvasconcelos","True"
"lnalmeida","True"
"amaia","True"
"pccarneiro","True"
"freduzino","True"
"JorSilva","True"
"Mmarcondes","True"
"msavastano","True"
"lnmartins","True"
"bssantos","True"
"anpereira","True"
"cvsilva","True"
"jrabelo","True"
"aafreitas","True"
"jpsouza","True"
"debora.estima","True"
"crssilva","True"
"juliana.araujo","True"
"frota.fortaleza","True"
"facastro","True"
"PSouza","False"
"evbatista","True"
"bsantos","True"
"con-mbrandao","True"
"prsantos","True"
"aqsilva","True"
"JRocha","True"
"sfigueiredo","True"
"cfcalmeida","True"
