SamAccountName		userAccountControl
dbueno	true	544
dcarneiro	true	512
dcarvalho	true	512
dcbarbosa	true	512
dcosmo	true	512
dcosta	true	512
dcrevelin	true	512
dcrodrigues	true	512
dcvieira	true	512
ddias	true	512
ddmiranda	true	512
ddteixeira	true	512
dduarte	true	512
debora.estima	true	512
deferreira	true	512
defsouza	true	544
delson.santos	#N/D	512
demiranda	true	512
DFaver	true	512
dfernandes	true	512
dferreira	true	512
dflores	true	512
dfonseca	true	512
dfoscarini	true	512
DFrank	true	512
dfsilva	true	512
dgoncalves	true	512
dgsilva	true	512
dhernandes	true	512
dhjesus	true	512
diamaral	true	512
dicarvalho	true	512
diego.d.santos	#N/D	512
diego.fernandes	true	512
diferreira	true	512
digsilva	true	512
diosilva	true	512
djacobsen	true	512
djasilva	true	544
djsilva	true	512
dkmartins	true	512
dladvig	true	512
dlcruz	true	512
dlima	true	512
dlino	true	544
dloliveira	true	544
dlopes	true	512
dmariano	true	512
dmarques	true	512
dmartins	true	512
dmeireles	true	512
dmelo	true	512
dmendes	true	512
dmenezes	true	544
Dmfilho	true	512
dmiranda	true	544
dmlima	true	512
dmoraes	true	512
dmsilva	true	512
DNeves	true	512
dnovaes	true	512
doaraujo	true	512
dogsilva	true	512
DOliveira	true	512
domarques	true	544
doreis	true	544
dorocha	true	512
DOSilva	true	512
dosouza	true	512
douglas.i.santos	true	512
douglas.santos	true	512
dpansini	true	512
dpeixoto	true	512
DPereira	true	512
dpmelo	true	512
dpmendes	true	512
drainha	true	512
drangel	true	512
drapereira	true	512
drcsilva	true	512
DReis	true	512
drhede	true	544
drosa	true	512
dsantos	true	512
dsbastos	true	512
dsdominguez	true	512
dsilva	true	512
dsmonteiro	true	512
dsoliveira	true	512
dsouza	true	512
DSpinheiro	true	512
dteixeira	true	512
duzuelli	true	512
dvalenca	true	512
dvenancio	true	512
dwill	true	544
eacarneiro	true	512
ealf	true	512
ealmeida	true	512
eamartins	true	512
eassis	true	512
ebarros	true	544
ebarth	true	512
ebatista	true	512
ebfreitas	true	512
ebgomes	true	512
eborella	true	544
ebraga	true	512
ebsantos	true	512
ebueno	true	512
ecalderaro	true	512
ecardoso	true	512
ecerri	true	512
echaves	true	512
eclima	true	512
ecmsantos	true	512
ecosta	true	544
ecsantos	true	512
ecsilva	true	512
edfpereira	true	512
edilson.junior	true	512
edisilva	true	512
edmsantos	true	512
edoliveira	true	512
EDPereira	true	512
edpsilva	true	512
edsantos	true	512
edsilva	true	512
edsondasilva	true	512
edsouza	true	512
eduardo.junior	true	512
eduardo.neto	#N/D	512
edyoliveira	true	512
efbarbosa	true	512
eferreira	true	512
efigueira	true	512
efiorin	true	544
efsantos	true	512
efsilva	true	512
egalo	true	512
egoncalves	true	512
ehbraga	true	512
ehsilva	true	512
ejacinto	true	512
ejalmeida	true	512
EJaques	true	512
ejosouza	true	512
ejsantos	true	512
ekreisig	true	512
elemes	true	512
elemos	true	512
elisboa	true	512
elnunes	true	544
elramos	true	544
ELSouza	true	512
emachado	true	512
emagalhaes	true	512
emalmeida	true	512
emarcolino	true	512
emcarvalho	true	512
emeirelles	true	544
emelo	true	512
emendonca	true	512
emesquita	true	512
emeurer	true	512
emfsantos	true	512
emmartins	true	512
emmendonca	true	512
emonteiro	true	512
emsilva	true	512
emuniz	true	544
enascente	true	512
eosantos	true	512
EPeixoto	true	512
epereira	true	512
epezzini	true	512
epires	true	512
epsantos	true	512
eralves	true	512
erasilva	true	512
erjsilva	true	512
erodrigues	true	512
eroliveira	true	512
eronsani	true	512
ERPereira	true	512
esanchez	true	512
esantiago	true	512
esarmento	true	512
ESChneider	true	512
esconceicao	true	512
esilva	true	512
esmendes	true	512
esodre	true	512
esoliveira	true	544
esoncini	true	512
esousa	true	512
esouza	true	512
essantiago	true	512
essantos	true	512
essilva	true	512
etakeuti	true	512
EValente	true	512
evbatista	true	544
evbraga	true	512
eventorim	true	512
eversilva	true	512
evroliveira	true	512
evsilva	true	512
evsoares	true	512
evsouza	true	512
ezamboni	true	512
ezandona	true	512
faalmeida	true	512
faasilva	true	512
fabarbosa	true	512
facastro	true	512
faferreira	true	512
fafranco	true	512
FAguiar	true	512
falbuquerque	true	512
famorim	true	512
famsantos	true	512
faoliveira	true	512
fapmoura	true	512
faraujo	true	512
farce	true	512
fasantos	true	512
fassuncao	true	512
fbalassiano	true	512
fbarreira	true	512
fbatista	true	512
fbdias	true	512
fbelo	true	512
fbernardo	true	512
fbini	true	512
fbraga	true	512
fbrandao	true	512
fcalmeida	true	512
fcamargo	true	512
fcamelo	true	512
fcamilo	true	512
fcancio	true	512
fcapponi	true	512
fcharao	true	512
fcoelho	true	512
fcsantos	true	544
fcsilva	true	512
fdamasio	true	512
FDaoualibi	true	512
fdias	true	512
ffaria	true	512
ffcosta	true	512
ffonseca	true	512
ffpereira	true	512
ffranco	true	512
ffroes	true	512
ffsantos	true	512
FFSilva	true	512
fgeraldo	true	512
fggomes	true	512
fgomes	true	512
fgsantos	true	512
fhsantos	true	544
fisantos	true	544
fjbarbosa	true	512
fjesus	true	512
fjgomes	true	544
fjjesus	true	512
fjnascimento	true	512
fjsilva	true	512
flopes	true	512
flosouza	true	512
flsoares	true	512
flssilva	true	512
fmacedo	true	512
fmarcicano	true	512
fmassis	true	544
fmattos	true	512
fmbarboza	true	544
fmelo	true	512
fmergulhao	true	512
fmerouco	true	512
fmfbarros	true	512
fmonte	true	512
fmonteiro	true	544
fmrodrigues	true	512
fnakashima	true	512
fnascimento	true	512
fnsilva	true	512
fnsouza	true	512
fnunes	true	512
fodias	true	512
foliveira	true	512
fpaiva	true	512
fpenedo	true	512
fpereira	true	512
fpfrancellino	true	512
FPOliveira	true	512
framorim	true	512
frandrade	true	512
frbsantos	true	512
frcandrade	true	512
frcosta	true	512
freduzino	true	512
frodrigues	true	512
frsoliveira	true	544
fsaguiar	true	512
FSantos	true	512
FSilva	true	512
fsiqueira	true	512
fslopes	true	512
fsoares	true	512
fsoliveira	true	512
fsousa	true	512
fssantiago	true	512
gabriel.maion	true	512
gabriel.quintella	#N/D	512
gabriel.romero	true	512
gacosta	true	544
gafernandes	true	512
